Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Snack,Siomay Eatopia,0,0,0,0,0.9,0.75,0.8,0.15,0,0,0,0.16,0.55,0,0,0
Snack,Spring Roll,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snack,Sweet Home-Made Pancakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.12
Snack,Tahu Isi Ala Eatopia,1.83,1.56,2.12,3.35,2.22,1.98,1.9,1.38,2.36,2.76,1.69,2.02,1.5,1.7,2.31,0.73
Snack,Toast Ice Uncle Dim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.12
Snack,waffle ice cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12
Snack,French Fries,5.32,5.52,5.02,4.16,5.43,6.22,3.9,3.15,5.02,4.34,4.65,5.51,5.52,4.8,5.87,4.13
Snack,Pisang Bakar,1.05,0.92,0.56,0.71,1.07,0.75,0.4,0.69,1.08,0.79,0.68,1.09,0.79,1.55,0.74,1.09
Snack,Pisang Goreng,2.7,3.22,2.9,1.52,2.8,2.26,2,1.69,1.18,2.05,1.44,2.17,3.31,1.99,1.32,0.73
Snack,Ropang,3.75,1.38,2.56,2.13,1.56,1.51,1.8,2.07,1.77,1.18,1.35,1.4,1.58,1.99,1.57,0.97
Sparkling Soda,Blue Ocean,0.7,0.28,0.56,0.3,0.16,0.38,0.4,0.31,0.39,0.08,0.42,0.16,0.08,0.22,0.33,0.12
Sparkling Soda,Cola Float,0,0,0,0,0.16,0.28,0.5,0.08,0.1,0.16,0.17,0.16,0.24,0,0.33,0.24
Sparkling Soda,Fruit Punch,0,0,0.11,0.2,0.25,0.19,0.2,0,0,0.08,0,0,0,0,0,0
Sparkling Soda,Green Goblin,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.22,0.25,0.61
Sparkling Soda,Lime Squash,0.26,0.37,0.45,0.91,0.41,0.57,0.3,0.15,0.1,0.16,0.08,0.31,0.55,0,0.17,0.24
Sparkling Soda,Lychee Sparkling Soda,0.17,0.18,0.56,0.51,0.99,0.66,0.6,0.38,0.59,0.47,0.59,0.7,0.47,0.22,0,0.12
Sparkling Soda,Mojito Sparkling Soda,0.61,0.55,0.56,0.61,0.49,0.66,0.5,0.23,1.08,0.24,0.34,0.78,0.16,0.07,0.25,0.24
